epoch,train_loss,val_loss,lr
1,3.6649593774509053,3.0437330955595483,0.001
2,2.9483912066508657,2.8101566645104117,0.001
3,2.7131312381137502,2.7206088388998677,0.001
4,2.5616667734775618,2.6749553079680193,0.001
5,2.4461720346697704,2.647696958752129,0.001
6,2.3549614318981473,2.6341588759985495,0.001
7,2.276188631067163,2.628569015367763,0.001
8,2.206231578890043,2.633104564636711,0.001
9,2.147617602654597,2.629971126871785,0.001
10,2.090473322764687,2.6405984473040722,0.0005
11,1.9389996885546583,2.636030036633409,0.0005
12,1.8803447108023723,2.6393720502928484,0.0005
13,1.837945376931443,2.6519142661507673,0.00025
14,1.7450466144226284,2.6621475670281356,0.00025
15,1.7136579541114008,2.6618055846747453,0.00025
