epoch,train_loss,val_loss,lr
1,3.6215112027914627,3.0879472653696856,0.001
2,2.9633501822298225,2.8607530518779605,0.001
3,2.7420652951647644,2.7702960930471345,0.001
4,2.599637840340731,2.715751616034921,0.001
5,2.491355185452186,2.694567988237997,0.001
6,2.401313141400635,2.672425791973204,0.001
7,2.3243702051667827,2.6735769407017025,0.001
8,2.254745313772571,2.6727295710345893,0.001
9,2.1894020129569434,2.6839803034865013,0.0005
10,2.039930609257325,2.667188606862947,0.0005
11,1.9843306742873588,2.679729741389357,0.0005
12,1.9445267459856193,2.6863307915334627,0.0005
13,1.905135131989543,2.6935752095199947,0.00025
14,1.8175909654660658,2.6964765308410166,0.00025
15,1.788741952581368,2.7022719646063376,0.00025
16,1.7683294969113919,2.7157532004859504,0.000125
17,1.718741282644008,2.7177067234760193,0.000125
18,1.7054902502434999,2.7239431114647332,0.000125
